"ZipCode","Lat_deg","Long_deg","MedAge_24","MedAge_23","MedAge_22","AvgAge_24","AvgAge_23","AvgAge_22","MedHouseIncome_24","MedHouseIncome_23","MedHouseIncome_22","AvgHouseIncome_24","AvgHouseIncome_23","AvgHouseIncome_22","TotHouseUnits_24","TotHouseUnits_23","TotHouseUnits_22","OwnerOccupiedHouseUnits_24","OwnerOccupiedHouseUnits_23","OwnerOccupiedHouseUnits_22","Pop16UnempRate_24","Pop16UnempRate_23","Pop16UnempRate_22","Pop16CLFEmp_24","Pop16CLFEmp_23","Pop16CLFEmp_22","Pop16CLF_Unemp_24","Pop16CLF_Unemp_23","Pop16CLF_Unemp_22","AvgCheckValue_24","AvgCheckValue_23","AvgCheckValue_22","CITYNAME","Banks","NumBanks","NavigantCount"
"02904","41.860577999999997","-71.435451","42.5","43.299999999999997","42.700000000000003","43.299999999999997","43.600000000000001","43.100000000000001","68700","60715","59028","92002","80222","79001","14942","14957","15062","7062","7220","7091","7.5","4.9000000000000004","4.5999999999999996","16037","15864","15263","1301","819","730","12473.34","10862.799999999999","10378.370000000001","Providence","Banco Santander, S.A., Bank of America Corporation, Citizens Financial Group, Inc., Citizens Financial Group, Inc., Coastal1 Credit Union, Postal Government Employees Federal Credit Union, The Toronto-Dominion Bank, Washington Trust Bancorp, Inc.",7,0
"02905","41.786625999999998","-71.401261000000005","35.399999999999999","34","32.899999999999999","37.600000000000001","36.700000000000003","36.100000000000001","54351","52013","57623","85212","79365","77735","10101","10093","9934","4261","4785","4224","11","5.5999999999999996","7","12293","12690","12174","1515","746","914","11375.4","10502.01","10137.469999999999","Providence","Bank of America Corporation, Citizens Financial Group, Inc., Citizens Financial Group, Inc., HarborOne Bancorp, Inc.",3,0
"02906","41.839078000000001","-71.390096999999997","32.200000000000003","32.200000000000003","33.200000000000003","37.899999999999999","37.100000000000001","37.399999999999999","99604","89371","90525","149853","135390","141482","13056","13048","13520","5426","5805","5421","5.5999999999999996","4.0999999999999996","3.7000000000000002","15499","15437","15698","927","659","601","15547.24","13921.9","13309.870000000001","Providence","Banco Santander, S.A., Bank of America Corporation, Brookline Bancorp, Inc., Citizens Financial Group, Inc., Citizens Financial Group, Inc., Coastal1 Credit Union, JPMorgan Chase & Co., OceanPoint Financial Partners, MHC, Washington Trust Bancorp, Inc.",8,0
"02907","41.797198000000002","-71.424689000000001","33.899999999999999","33.200000000000003","32.600000000000001","35.899999999999999","35.100000000000001","34.600000000000001","42828","42730","45575","61431","59020","60375","10679","10678","10667","2699","3280","2685","10.300000000000001","6.5999999999999996","7.7000000000000002","12565","12389","12250","1437","873","1020","7523.0500000000002","6894.1300000000001","7256.6899999999996","Providence","none",0,0
"02908","41.838802000000001","-71.437207999999998","33.700000000000003","34.5","33.5","36.299999999999997","36.299999999999997","35.600000000000001","69316","60727","57580","93939","80462","76799","15598","15560","15113","5666","6263","5552","7.5","5.5","5.5","18395","17292","16496","1490","1002","963","11316.98","9926.3899999999994","9504.7399999999998","Providence","Banco Santander, S.A., Citizens Financial Group, Inc.",2,0
"02909","41.819651999999998","-71.451390000000004","32.5","32","31.600000000000001","34.600000000000001","33.899999999999999","33.299999999999997","58511","50872","48547","73127","65136","62755","17513","17442","17427","4729","5704","4566","10.300000000000001","7.2999999999999998","8.0999999999999996","21746","21413","20462","2508","1696","1800","9005.8299999999999","8116.8400000000001","7419.6199999999999","Providence","Bank of America Corporation, Citizens Financial Group, Inc., Citizens Financial Group, Inc., JPMorgan Chase & Co.",3,0
"02910","41.775559000000001","-71.436166","40.299999999999997","40.200000000000003","40","40.700000000000003","40.799999999999997","40.399999999999999","80843","78564","79380","97506","92021","88431","9167","9161","9304","5669","6041","5810","6.4000000000000004","2.7999999999999998","3","11894","12356","12116","813","352","380","14736.959999999999","13626.26","13118.1","Cranston","Banco Santander, S.A., Bank of America Corporation, Brookline Bancorp, Inc., Centreville Bank, Citizens Financial Group, Inc., Rhode Island Credit Union, Washington Trust Bancorp, Inc., Webster Financial Corporation",8,0
"02911","41.854446000000003","-71.473242999999997","41.200000000000003","42.399999999999999","41.899999999999999","42","42.899999999999999","42.399999999999999","75900","72251","66330","96661","84655","82893","7466","7474","7598","4056","4066","4248","8.5","7.7000000000000002","7.4000000000000004","8766","8403","8530","812","700","682","13487.950000000001","11910.84","11187.030000000001","North Providence","Navigant Credit Union",1,1
"02912","41.826191999999999","-71.403605999999996","22.800000000000001","20.300000000000001","20.300000000000001","33.799999999999997","22.699999999999999","23.5","87500","100000","112500","186885","214250","233865","32","34","41","9","14","13","6.5","4.0999999999999996","3.6000000000000001","187","210","189","13","9","7","14420.02","13788.950000000001","13748.780000000001","Providence","none",0,0
"02914","41.813609999999997","-71.364547999999999","43.5","41.700000000000003","41","44.100000000000001","42.5","41.799999999999997","60597","60797","61322","84460","80786","77228","10078","10060","10077","4834","5113","4923","5.4000000000000004","3.7999999999999998","4.7999999999999998","10798","10916","11339","610","430","573","11622.02","10961.18","10265.66","East Providence","Bank of America Corporation, Brookline Bancorp, Inc., Brookline Bancorp, Inc., Citizens Financial Group, Inc., Coastal1 Credit Union, Community & Teachers Federal Credit Union, Washington Trust Bancorp, Inc.",6,0
"02915","41.777453000000001","-71.350140999999994","47.899999999999999","45.899999999999999","45.600000000000001","46.600000000000001","45","44.799999999999997","85588","82777","73663","107096","97692","87814","8209","8184","8201","4879","5281","4925","7.7999999999999998","5","2.3999999999999999","8910","8924","9341","752","474","231","15219.059999999999","13948.219999999999","12129.74","Riverside","Citizens Financial Group, Inc., HarborOne Bancorp, Inc., Navigant Credit Union, Webster Financial Corporation",4,1
"02916","41.844791999999998","-71.354187999999994","47.700000000000003","45.600000000000001","44.600000000000001","46.299999999999997","44.799999999999997","44","78724","81628","80118","108290","107353","104178","4067","4050","4066","2534","2559","2607","7.4000000000000004","4.9000000000000004","2.5","4407","4519","4768","353","233","122","14776.75","14110.139999999999","13500.73","Rumford","Banco Santander, S.A., Citizens Financial Group, Inc., Coastal1 Credit Union, Navigant Credit Union, The Toronto-Dominion Bank, Washington Trust Bancorp, Inc.",6,1
"02917","41.905928000000003","-71.523928999999995","39.299999999999997","37.799999999999997","37.799999999999997","41.600000000000001","41.5","41.399999999999999","101411","92419","92799","128688","111752","115859","5146","5102","5169","3841","3781","3786","8.8000000000000007","4.5999999999999996","2.7000000000000002","6864","7456","7466","662","358","204","17849.389999999999","15808.969999999999","15222.860000000001","Smithfield","Banco Santander, S.A., Coastal1 Credit Union, Navigant Credit Union",3,1
"02918","41.843831000000002","-71.435027000000005","20.199999999999999","20.5","20.800000000000001","21.100000000000001","25.699999999999999","28.399999999999999","87500","75000","41375","85625","94250","68604","8","10","315","3","6","129","3.2999999999999998","1.7","6","1634","1785","1286","56","31","82","10939.08","13404.48","8989.7600000000002","Providence","Banco Santander, S.A.",1,0
"02919","41.827157","-71.520011999999994","45.899999999999999","45.5","45.200000000000003","45","44.799999999999997","44.5","83791","78099","75439","101529","95685","96338","12561","12503","13456","8279","8492","8741","9.8000000000000007","6.7999999999999998","5.2000000000000002","14136","14988","16554","1541","1100","914","15716.690000000001","14162.709999999999","13025.540000000001","Johnston","Banco Santander, S.A., Bank of America Corporation, Brookline Bancorp, Inc., Citizens Financial Group, Inc., Citizens Financial Group, Inc., City of Boston Credit Union, OceanPoint Financial Partners, MHC, The Toronto-Dominion Bank, Washington Trust Bancorp, Inc.",8,0
"02920","41.767311999999997","-71.466363000000001","43.299999999999997","42.899999999999999","42.299999999999997","43.799999999999997","43.799999999999997","43.299999999999997","75338","74920","73642","100208","93834","90788","15652","15668","16072","8951","9632","9412","5.7000000000000002","3.5","4.5999999999999996","17474","18449","18698","1046","666","900","14224.51","13187.5","12479.530000000001","Cranston","Banco Santander, S.A., Bank of America Corporation, Bank of America Corporation, Brookline Bancorp, Inc., Citizens Financial Group, Inc., Citizens Financial Group, Inc., Citizens Financial Group, Inc., Citizens Financial Group, Inc., Coastal1 Credit Union, Cranston Municipal Employees Credit Union, HarborOne Bancorp, Inc., JPMorgan Chase & Co., JPMorgan Chase & Co., Narragansett Financial Corporation, Navigant Credit Union, OceanPoint Financial Partners, MHC, The Toronto-Dominion Bank, Washington Trust Bancorp, Inc.",13,1
"02921","41.763002","-71.516288000000003","46.100000000000001","43.799999999999997","44.399999999999999","43.799999999999997","42.600000000000001","42.700000000000003","124245","114055","109457","166791","144245","136179","4858","4847","4943","4175","3970","4289","4.2000000000000002","3.3999999999999999","2.7999999999999998","6922","6992","7630","300","248","222","21315.029999999999","18695.970000000001","17579.049999999999","Cranston","Brookline Bancorp, Inc., Centreville Bank, Citizens Financial Group, Inc., Coastal1 Credit Union, HarborOne Bancorp, Inc., Washington Trust Bancorp, Inc.",6,0
